features_structure,project,Precision,Recall,FM
Flake-Flagger-Features,kevinsawicki-http-request,0.39,0.65,0.45
Flake-Flagger-Features,orbit-orbit,0.25,0.3,0.26
Flake-Flagger-Features,apache-ambari,0.92,0.84,0.87
Flake-Flagger-Features,wro4j-wro4j,0.50,0.58,0.66
Flake-Flagger-Features,tootallnate-java-websocket,0.96,0.91,0.92
Flake-Flagger-Features,undertow-io-undertow,0.20,0.50,0.20
Flake-Flagger-Features,ninjaframework-ninja,1,1,1
Flake-Flagger-Features,doanduyhai-Achilles,1,0.5,1
Flake-Flagger-Features,elasticjob-elastic-job-lite,0.25,0.33,0.27
Vocabulary-Features,kevinsawicki-http-request,0.45,0.30,0.35
Vocabulary-Features,orbit-orbit,0.15,0.20,0.16
Vocabulary-Features,apache-ambari,0.97,0.83,0.89
Vocabulary-Features,wro4j-wro4j,0.40,0.25,0.29
Vocabulary-Features,tootallnate-java-websocket,1,0.96,0.98
Vocabulary-Features,undertow-io-undertow,0.33,0.14,0.19
Vocabulary-Features,ninjaframework-ninja,1,1,1
Vocabulary-Features,doanduyhai-Achilles,1,0.5,1
Vocabulary-Features,elasticjob-elastic-job-lite,0,0,0
Vocabulary-with-flakeFlagger,kevinsawicki-http-request,0.70,0.55,0.58
Vocabulary-with-flakeFlagger,orbit-orbit,0.66,0.5,0.56
Vocabulary-with-flakeFlagger,apache-ambari,1,0.9,0.94
Vocabulary-with-flakeFlagger,wro4j-wro4j,1,0.18,0.3
Vocabulary-with-flakeFlagger,tootallnate-java-websocket,1,0.96,0.98
Vocabulary-with-flakeFlagger,undertow-io-undertow,0.33,0.16,0.22
Vocabulary-with-flakeFlagger,ninjaframework-ninja,1,1,1
Vocabulary-with-flakeFlagger,doanduyhai-Achilles,0,0,0
Vocabulary-with-flakeFlagger,elasticjob-elastic-job-lite,0,0,0
Static-approach,kevinsawicki-http-request,0.55,0.75,0.61
Static-approach,orbit-orbit,0.5,0.5,0.5
Static-approach,apache-ambari,0.98,0.9,0.93
Static-approach,wro4j-wro4j,0.14,0.15,0.12
Static-approach,tootallnate-java-websocket,1.0,0.96,0.98
Static-approach,undertow-io-undertow,0.4,0.33,0.36
Static-approach,ninjaframework-ninja,0.81,1.0,0.88
Static-approach,doanduyhai-Achilles,1.0,0.5,1.0
Static-approach,elasticjob-elastic-job-lite,0,0,0
